,name,FullServiceRestaurant,Hospital,LargeHotel,LargeOffice,MediumOffice,MidriseApartment,OutPatient,PrimarySchool,QuickServiceRestaurant,ResidBase,ResidHigh,ResidLow,SecondarySchool,SmallHotel,SmallOffice,Stand-aloneRetail,StripMall,SuperMarket,Warehouse
58,N_1100080088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15917.0,22990.0,8477.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
59,N_1100102806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1565.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0
60,N_1100040447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49919.0,0.0,51580.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
61,N_1100015719,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75106.0,0.0,0.0,0.0,0.0,237.0,0.0,312.0
62,N_1100123785,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6633.0,0.0,0.0,0.0,0.0,58.0,0.0,30.0
63,N_1100123854,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10909.0,0.0,0.0,0.0,0.0,84.0,0.0,48.0
64,N_1100079990,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17129.0,0.0,0.0,0.0,0.0,182.0,0.0,78.0
65,N_1100079993,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108334.0,0.0,0.0,0.0,0.0,250.0,0.0,446.0
66,N_1100079992,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49943.0,0.0,0.0,0.0,0.0,406.0,0.0,220.0
67,N_1100123644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,N_1100079999,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30477.0,0.0,0.0,0.0,0.0,246.0,0.0,134.0
